         96906572 function calls (92862053 primitive calls) in 44.642 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1485    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
     3221    0.002    0.000    0.003    0.000 _parser.py:312(_class_escape)
     1440    0.002    0.000    0.003    0.000 grid.py:410(_erase_building)
        3    0.000    0.000    0.003    0.001 __init__.py:278(load)
    20558    0.003    0.000    0.003    0.000 {method 'pop' of 'dict' objects}
      530    0.001    0.000    0.003    0.000 _compiler.py:248(_optimize_charset)
      200    0.001    0.000    0.003    0.000 {built-in method _io.open}
        1    0.000    0.000    0.003    0.003 betweenness.py:1(<module>)
        1    0.000    0.000    0.003    0.003 plugin_configuration.py:29(discover_mutations)
      166    0.000    0.000    0.003    0.000 __init__.py:780(read_text)
     9544    0.002    0.000    0.003    0.000 _parser.py:168(__getitem__)
     7784    0.002    0.000    0.002    0.000 graph_to_matrix.py:80(<genexpr>)
      551    0.000    0.000    0.002    0.000 __init__.py:251(__str__)
       63    0.000    0.000    0.002    0.000 loader.py:67(feature_imported)
        1    0.000    0.000    0.002    0.002 main_window.py:127(_setup_menu_bar)
       63    0.000    0.000    0.002    0.000 feature.py:134(feature_imported)
       34    0.000    0.000    0.002    0.000 feature.py:150(_mod_uses_pyside)
      162    0.000    0.000    0.002    0.000 graph_to_matrix.py:616(cord_in_between_two_neighbors_with_one_normal_space)
        1    0.000    0.000    0.002    0.002 modularity_max.py:1(<module>)
    27238    0.002    0.000    0.002    0.000 grid.py:592(<genexpr>)
        5    0.000    0.000    0.002    0.000 __init__.py:304(loads)
        5    0.000    0.000    0.002    0.000 decoder.py:340(decode)
      166    0.000    0.000    0.002    0.000 __init__.py:763(open)
       34    0.000    0.000    0.002    0.000 inspect.py:1155(getsource)
        5    0.002    0.000    0.002    0.000 decoder.py:351(raw_decode)
